"A_MONTH","A_DOLLAR","A_RATE","KOSPI","SALARY_INCREASE","K_RATE","OIL_PRICE","HOUSE_PRICE"
2,1197.63,1.93,2724.02,31.6,1.25,94.1,106.28
3,1220.23,2.12,2698.72,31.75,1.25,112.46,106.23
4,1236.78,2.74,2703.24,31.86,1.5,105.92,106.21
5,1265.93,2.91,2628.34,31.98,1.75,111.96,106.19
6,1278.31,3.13,2474.95,32.11,1.75,117.5,106.11
7,1306.38,2.89,2362.79,32.27,2.25,105.12,105.97
8,1320.67,2.89,2479.57,32.36,2.5,97.35,105.6
9,1395.69,3.51,2333.93,32.49,2.5,90.23,104.87
10,1426.4,3.98,2230.27,32.64,3,92.92,103.81
11,1354.28,3.88,2417.56,32.82,3.25,90.85,102.04
12,1299.07,3.53,2872.71,32.82,3.25,81.58,100.64
